Hid;ln
4998500;510
4999700;144
4999701;416
5000200;4770
5000300;6714
5000500;3559
5000700;8670
5000800;2744
5001500;7585
5001600;4461
5002400;2285
5002900;327
5003100;4697
5003200;5489
5003500;2380
5003600;7592
5004500;3095
5004600;7896
5004800;1717
5004900;1685
5005000;3142
5005200;2993
5005400;8620
5005500;2302
5005600;8395
5005700;2037
5006000;1339
5006100;1591
5006300;569
5006500;630
5008600;5701
5008800;6995
5009200;5353
5009300;2386
5009500;3250
5009700;4042
5010200;6839
5010300;2322
5010500;5516
5010600;7952
5010700;1348
5011500;7308
5012100;6889
5012500;1983
5012600;970
5012700;8796
5012800;3405
5013100;8666
5013200;5121
5013300;8495
5013600;3259
5013700;3183
5014200;4973
5015500;7698
5015700;7779
5016100;9220
5016200;7209
5016500;7360
5016600;7345
5016900;1387
5017000;4097
5017200;1626
5017400;4332
5017500;4186
5017600;1304
5017700;8843
5018200;5656
5018400;7968
5018600;4596
5018800;6946
5019100;6630
5019300;2221
5019400;2646
5019600;740
5019700;1721
5019800;9081
5019900;5746
5020100;3321
5020500;7505
5021100;1714
5021200;1379
5021400;811
5021600;4284
5022100;6030
5022600;2118
5022800;4224
5023000;6428
5023300;8117
5023500;6678
5023800;6339
5023900;7573
5024300;2186
5025500;6331
5025800;2314
5025900;6198
5026200;3802
5026300;7291
5026400;2459
5026900;425
5026901;73
5027100;5005
5027400;3839
5027500;2361
5027700;3219
5027800;6342
5027900;1608
5028300;1079
5028600;4401
5028800;8404
5029000;3518
5029200;8065
5029600;2059
5029700;1897
5029800;7047
5030900;4755
5031300;736
5031400;2574
5031700;5156
5031800;6358
5031900;7987
5032000;5509
5032100;7285
5032400;7161
5032700;6767
5032800;7620
5032900;7522
5033000;6146
5033300;2922
5033600;5132
5033700;7480
5033900;401
5034200;2966
5034400;5266
5034700;1933
5035500;7798
5035600;193
5035700;1941
5035800;4310
5036100;8158
5036400;1620
5036500;6026
5037200;6273
5037201;479
5037700;5483
5037900;8426
5038000;8326
5038500;3817
5038700;5271
5039400;6390
5039700;7057
5039900;314
5040100;8036
5040600;433
5040700;6513
5041000;3618
5041600;6420
5041700;8779
5041800;5716
5041900;6658
5042000;6993
5042100;9167
5042900;6129
5042901;85
5043000;297
5043500;797
5043900;427
5044000;3982
5044100;9176
5044500;8173
5045000;4027
5045500;7455
5045600;3778
5045900;2608
5046000;8149
5046700;3910
5047000;1241
5047700;34
5047900;2722
5048000;7231
5048100;7683
5048700;9185
5048800;67
5049400;2113
5049600;7917
5049700;7324
5049800;330
5049900;7062
5049901;2907
5050600;8246
5050700;2047
5051000;5042
5051400;4004
5051700;3879
5051800;4548
5052100;4390
5052200;3436
5052300;7761
5052301;5697
5052400;3212
5052901;7425
5053400;8157
5053500;7436
5053600;2893
5053800;6503
5053900;7557
5054100;7152
5054600;2098
5054800;4043
5054900;2167
5055000;3643
5055300;2935
5055800;3843
5056400;7759
5056600;7170
5056700;5846
5056800;177
5057000;1748
5057400;524
5057401;9272
5057500;2357
5057600;7802
5057700;8527
5057900;8226
5058000;875
5058400;2237
5058600;2679
5058700;9075
5059800;6639
5060300;6519
5060400;1920
5060600;5797
5061000;3104
5061200;393
5061300;7220
5061400;6867
5061500;5871
5061900;7814
5062100;671
5062500;3625
5062800;1148
5062900;3416
5063100;1965
5063200;702
5063400;7174
5064000;2286
5064100;2773
5064200;2325
5064400;4202
5064800;6073
5065000;6733
5065100;6705
5065800;4252
5066000;8635
5066100;4529
5066200;5071
5066500;4914
5067500;3182
5068600;1359
5069000;4827
5069400;2418
5069600;6155
5069800;8704
5069801;4544
5070100;3349
5070200;8905
5070600;2903
5070700;7997
5071800;8919
5071900;8165
5072200;5308
5072300;7344
5072700;5004
5073000;7221
5073100;709
5073800;7141
5074100;458
5074400;8214
5075000;7989
5075300;7637
5075600;8001
5075900;7773
5076000;901
5076300;4575
5076700;1921
5077300;5368
5077800;8428
5077900;5543
5078100;3648
5078400;4201
5078900;1776
5079200;1164
5079300;2507
5079400;5134
5080100;5563
5080200;6795
5080300;5080
5080500;526
5081100;436
5081300;360
5081400;6632
5082000;8234
5082500;6849
5082600;7675
5083100;8973
5083600;255
5083900;6122
5084000;5513
5084100;7527
5084500;2206
5084700;8310
5085200;51
5086100;8935
5086200;6322
5086700;8358
5086800;2675
5087800;7805
5088200;1757
5088600;5808
5088900;4345
5089100;6276
5089400;8307
5089800;5408
5090200;2525
5090300;3664
5090600;5583
5090800;5778
5091000;6154
5091001;3902
5091300;8422
5091600;7305
5092000;4614
5092100;371
5093000;8063
5093300;6930
5093400;5976
5093600;5945
5094000;801
5094100;8266
5094500;7606
5094700;4492
5094800;1750
5095100;6076
5095200;4805
5095600;4894
5096000;2732
5096500;6780
5097400;2048
5098000;8283
5098500;7729
5098900;6695
5099000;2571
5099100;8929
5099200;9107
5099300;1734
5099400;5765
5099500;5012
5099700;1735
5100200;3320
5100400;6748
5100500;5355
5100600;2780
5100700;4586
5101000;8427
5101100;8997
5101300;3246
5101500;3045
5101800;3397
5102000;7312
5102200;4955
5102300;4669
5102500;3331
5102600;452
5102601;6362
5102700;2839
5102800;5669
5103000;6621
5103400;727
5103500;1998
5103700;6470
5103800;6957
5104100;7967
5104600;413
5104700;6205
5104800;3383
5105100;821
5105800;7647
5105801;8040
5106900;3671
5107000;6248
5107900;6052
5108000;3464
5108400;8769
5109200;403
5109400;3223
5109500;5678
5109800;3705
5109900;7830
5110000;2373
5110600;3277
5110800;4773
5111000;6344
5111100;4054
5111500;2251
5111600;577
5111700;628
5112100;8501
5112200;4822
5112300;2031
5112400;8104
5112800;8562
5113000;4569
5113100;2337
5113200;6966
5113400;6933
5113500;6798
5113700;7495
5113800;9109
5114500;6522
5114700;7799
5115100;8700
5115200;7532
5116500;47
5116700;5047
5117200;2366
5117400;8756
5118200;3221
5118300;373
5118400;2168
5118500;8686
5118800;8646
5119000;6368
5119300;59
5119600;3786
5120500;4832
5120600;4513
5120700;4758
5121000;3743
5121200;3749
5122600;1537
5122700;5362
5122800;5272
5122801;4979
5122900;2438
5123000;4961
5123100;1346
5123200;315
5123500;9035
5123600;8552
5123900;3082
5124100;3444
5124400;792
5124700;2972
5124800;8162
5124900;2029
5125000;3769
5125500;8884
5125600;6820
5125900;2140
5126500;2203
5126600;5064
5126900;2834
5127000;2718
5127400;6377
5127500;3672
5127800;3715
5128200;699
5129000;1458
5129300;2869
5129500;3992
5129900;4501
5130200;2996
5130300;207
5130500;5329
5130700;8472
5130800;829
5130900;6807
5131200;3359
5131400;4234
5131900;8593
5132300;4465
5132400;6550
5132600;8452
5132700;7901
5132900;2129
5133200;3785
5133600;25
5133700;7972
5134100;5066
5134200;972
5134400;9058
5134600;3102
5134700;1571
5134800;8008
5135000;1098
5135100;959
5135200;2294
5135500;7439
5136000;8245
5136300;4489
5136400;5040
5136700;2807
5136900;8830
5137200;2940
5137300;8288
