jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5840400; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5840500;430,60534;11;11;2;0;2;2;3;4;3;410;1
2019;5840600;588,433;11;11;6;3;6;3;2;3;3;102;1
2019;5840700;574,7838;11;11;1;0;1;5;2;3;2;310;1
2019;5840800; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5840900; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5841000;279,3657;11;11;2;0;2;6;3;4;3;430;1
2019;5841100; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;5841200;150,12802;11;11;1;0;1;9;1;1;1;101;1
2019;5841300; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5841400;506,21311;11;11;3;0;3;4;2;4;3;210;1
2019;5841500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5841600;701,04182;11;11;4;0;4;7;2;4;3;103;1
2019;5841700;390,02963;11;11;1;0;1;6;1;2;2;101;1
2019;5841800; ;11;21;-3;-3; ;2;3;4;-1;-1; 
2019;5841900; ;-3;-3;-3;-3; ;3;2;3;-1;-1; 
2019;5842000;348,89347;11;11;1;0;1;3;2;4;3;101;1
2019;5842100; ;11;22;-3;-3; ;8;2;3;-1;-1; 
2019;5842200; ;-3;-3;-3;-3; ;1;3;4;-1;-1; 
2019;5842300; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5842400;410,88269;11;11;1;0;1;6;1;2;2;101;1
2019;5842500;381,8101;11;11;1;0;1;2;3;4;2;410;1
2019;5842600;520,54653;11;11;4;2;4;3;2;4;3;101;1
2019;5842700; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;5842800; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5842900;1009,15731;11;11;1;0;1;9;1;1;1;101;1
2019;5843000;327,29357;11;11;1;0;1;1;3;4;3;430;1
2019;5843100;708,68978;11;11;1;0;1;2;3;4;2;410;1
2019;5843200; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5843300; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;5843400;479,74985;11;11;1;0;1;9;1;1;1;101;1
2019;5843500; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5843600;484,08766;11;11;1;0;1;7;3;4;2;310;1
2019;5843700;387,26446;11;11;1;0;1;2;3;4;3;410;1
2019;5843800; ;27;-3;-3;-3; ;5;3;4;-1;-1; 
2019;5843900; ;11;22;-3;-3; ;7;1;2;-1;-1; 
2019;5844000;529,986;11;11;3;0;3;3;3;4;3;410;1
2019;5844100; ;11;21;-3;-3; ;7;1;2;-1;-1; 
2019;5844200; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5844300; ;11;22;-3;-3; ;4;1;2;-1;-1; 
2019;5844400;565,07663;11;11;1;0;1;2;2;3;3;103;1
2019;5844500;427,85983;11;11;1;0;1;8;2;3;1;101;1
2019;5844600; ;11;22;-3;-3; ;7;2;4;-1;-1; 
