"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04225011","1","0","1","195","D","1","D","05","D","750","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04225321","1","0","1","120","D","1","D","05","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04225671","1","0","1","120","D","1","D","06","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04225701","1","0","1","195","D","1","D","07","D","1410","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04227241","1","0","1","100","D","1","D","06","D","700","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04227331","1","0","1","160","D","1","D","05","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04228351","1","0","1","210","D","1","D","07","D","650","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04228371","1","0","1","160","D","1","D","06","D","495","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04228481","1","0","1","195","D","1","D","07","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04228874","1","0","1","120","D","1","D","06","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04229091","1","0","1","120","D","1","D","07","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04229431","1","0","1","120","D","1","D","05","D","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04229431","2","0","1","140","D","1","D","05","D","800","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04229853","1","0","1","195","D","1","D","05","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230371","1","0","1","160","D","1","D","05","D","1000","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230441","1","0","1","120","D","1","D","07","D","160","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04230641","1","0","1","220","D","1","D","05","D","","H","","A","","A","140","D","195","D","","A","","A","","A","","A","","A","","A","","A"
