"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","04105091","22","0","1","200","D","1","D","02","D","116","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105091","23","0","1","420","D","1","D","12","D","210","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105091","24","0","1","420","D","1","D","01","D","536","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105091","25","0","1","620","D","1","D","12","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105091","26","0","1","620","D","1","D","01","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105091","27","0","1","620","D","1","D","02","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105221","10","0","1","420","D","1","D","01","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105301","9","0","1","420","D","1","D","01","D","3026","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105471","30","0","1","130","D","1","D","01","D","","H","120","D","110","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105471","30","1","1","120","D","1","D","01","D","375","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105471","30","2","1","110","D","1","D","01","D","162","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04105471","31","0","1","330","D","1","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04106331","26","0","1","200","D","1","D","01","D","162","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04106331","27","0","1","200","D","1","D","02","D","299","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04107811","19","0","1","420","D","1","D","01","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04109541","12","0","1","620","D","1","D","01","D","15","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04110441","13","0","1","420","D","1","D","12","D","3026","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
